Date,ipca.acum
agosto 1994,101.86
setembro 1994,103.418458
outubro 1994,106.1280215996
novembro 1994,109.110219006549
dezembro 1994,110.976003751561
janeiro 1995,112.862595815337
fevereiro 1995,114.013794292654
março 1995,115.78100810419
abril 1995,118.594486601122
maio 1995,121.760959393372
junho 1995,124.512757075662
julho 1995,127.451258142647
agosto 1995,128.71302559826
setembro 1995,129.987284551682
outubro 1995,131.820105263861
novembro 1995,133.75786081124
dezembro 1995,135.844483439895
janeiro 1996,137.66479951799
fevereiro 1996,139.082746953025
março 1996,139.569536567361
abril 1996,141.328112728109
maio 1996,143.052315703392
junho 1996,144.754638260263
julho 1996,146.361414744952
agosto 1996,147.005404969829
setembro 1996,147.225913077284
outubro 1996,147.667590816516
novembro 1996,148.140127107129
dezembro 1996,148.836385704532
janeiro 1997,150.592655055846
fevereiro 1997,151.345618331125
março 1997,152.117480984614
abril 1997,153.456114817278
maio 1997,154.085284888029
junho 1997,154.917345426425
julho 1997,155.258163586363
agosto 1997,155.227111953646
setembro 1997,155.320248220818
outubro 1997,155.677484791726
novembro 1997,155.942136515872
dezembro 1997,156.61268770289
janeiro 1998,157.72463778558
fevereiro 1998,158.450171119394
março 1998,158.9889017012
abril 1998,159.370475065283
maio 1998,160.167327440609
junho 1998,160.199360906097
julho 1998,160.00712167301
agosto 1998,159.191085352478
setembro 1998,158.840864964702
outubro 1998,158.872633137695
novembro 1998,158.68198597793
dezembro 1998,159.205636531657
janeiro 1999,160.320075987379
fevereiro 1999,162.003436785246
março 1999,163.785474589884
abril 1999,164.702673247587
maio 1999,165.19678126733
junho 1999,165.510655151738
julho 1999,167.314721292892
agosto 1999,168.251683732132
setembro 1999,168.773263951702
outubro 1999,170.781665792727
novembro 1999,172.404091617758
dezembro 1999,173.438516167464
janeiro 2000,174.513834967703
fevereiro 2000,174.740702953161
março 2000,175.125132499658
abril 2000,175.860658056156
maio 2000,175.878244121962
junho 2000,176.282764083442
julho 2000,179.120916585186
agosto 2000,181.467400592452
setembro 2000,181.884775613814
outubro 2000,182.139414299674
novembro 2000,182.722260425433
dezembro 2000,183.800321761943
janeiro 2001,184.847983595986
fevereiro 2001,185.698284320527
março 2001,186.403937800945
abril 2001,187.485080640191
maio 2001,188.253769470816
junho 2001,189.232689072064
julho 2001,191.749483836722
agosto 2001,193.091730223579
setembro 2001,193.632387068205
outubro 2001,195.239535880871
novembro 2001,196.625736585626
dezembro 2001,197.903803873432
janeiro 2002,198.932903653574
fevereiro 2002,199.649062106727
março 2002,200.846956479367
abril 2002,202.453732131202
maio 2002,202.878884968678
junho 2002,203.730976285546
julho 2002,206.155374903344
agosto 2002,207.495384840216
setembro 2002,208.989351611066
outubro 2002,211.727112117171
novembro 2002,218.121270903109
dezembro 2002,222.701817592074
janeiro 2003,227.712608487896
fevereiro 2003,231.287696441156
março 2003,234.132535107382
abril 2003,236.403620697924
maio 2003,237.845682784181
junho 2003,237.488914260005
julho 2003,237.963892088525
agosto 2003,238.772969321626
setembro 2003,240.635398482335
outubro 2003,241.333241137933
novembro 2003,242.153774157802
dezembro 2003,243.412973783423
janeiro 2004,245.262912384177
fevereiro 2004,246.75901614972
março 2004,247.918783525624
abril 2004,248.836083024669
maio 2004,250.105147048095
junho 2004,251.880893592136
julho 2004,254.173009723825
agosto 2004,255.926803490919
setembro 2004,256.771361942439
outubro 2004,257.901155934986
novembro 2004,259.680673910937
dezembro 2004,261.913927706571
janeiro 2005,263.433028487269
fevereiro 2005,264.987283355344
março 2005,266.603705783812
abril 2005,268.923158024131
maio 2005,270.240881498449
junho 2005,270.18683332215
julho 2005,270.862300405455
agosto 2005,271.322766316144
setembro 2005,272.272395998251
outubro 2005,274.314438968238
novembro 2005,275.823168382563
dezembro 2005,276.81613178874
janeiro 2006,278.449346966294
fevereiro 2006,279.590989288856
março 2006,280.793230542798
abril 2006,281.382896326937
maio 2006,281.664279223264
junho 2006,281.072784236896
julho 2006,281.606822526946
agosto 2006,281.747625938209
setembro 2006,282.339295952679
outubro 2006,283.271015629323
novembro 2006,284.149155777774
dezembro 2006,285.513071725507
janeiro 2007,286.7693292411
fevereiro 2007,288.031114289761
março 2007,289.096829412633
abril 2007,289.819571486164
maio 2007,290.631066286325
junho 2007,291.444833271927
julho 2007,292.14430087178
agosto 2007,293.517379085877
setembro 2007,294.045710368232
outubro 2007,294.927847499336
novembro 2007,296.048573319834
dezembro 2007,298.239332762401
janeiro 2008,299.849825159318
fevereiro 2008,301.319089302598
março 2008,302.765420931251
abril 2008,304.430630746373
maio 2008,306.835632729269
junho 2008,309.106216411466
julho 2008,310.744479358446
agosto 2008,311.61456390065
setembro 2008,312.424761766792
outubro 2008,313.830673194742
novembro 2008,314.960463618243
dezembro 2008,315.842352916374
janeiro 2009,317.358396210373
fevereiro 2009,319.10386738953
março 2009,319.742075124309
abril 2009,321.276837084906
maio 2009,322.786838219205
junho 2009,323.948870836794
julho 2009,324.726348126802
agosto 2009,325.213437648992
setembro 2009,325.99394989935
outubro 2009,326.906732959068
novembro 2009,328.2470505642
dezembro 2009,329.461564651288
janeiro 2010,331.932526386172
fevereiro 2010,334.521600091985
março 2010,336.261112412463
abril 2010,338.177800753214
maio 2010,339.631965296453
junho 2010,339.631965296453
julho 2010,339.665928492983
agosto 2010,339.80179486438
setembro 2010,341.330902941269
outubro 2010,343.890884713329
novembro 2010,346.74517905645
dezembro 2010,348.929673684505
janeiro 2011,351.825789976087
fevereiro 2011,354.640396295895
março 2011,357.442055426633
abril 2011,360.194359253418
maio 2011,361.887272741909
junho 2011,362.430103651022
julho 2011,363.009991816863
agosto 2011,364.353128786586
setembro 2011,366.284200369155
outubro 2011,367.859222430742
novembro 2011,369.772090387382
dezembro 2011,371.620950839319
janeiro 2012,373.702028164019
fevereiro 2012,375.383687290757
março 2012,376.171993034068
abril 2012,378.579493789486
maio 2012,379.942379967128
junho 2012,380.246333871102
julho 2012,381.881393106747
agosto 2012,383.447106818485
setembro 2012,385.63275532735
outubro 2012,387.907988583782
novembro 2012,390.235436515284
dezembro 2012,393.318296463755
janeiro 2013,396.700833813343
fevereiro 2013,399.081038816224
março 2013,400.95671969866
abril 2013,403.161981657002
maio 2013,404.653680989133
junho 2013,405.705780559705
julho 2013,405.827492293873
agosto 2013,406.801478275378
setembro 2013,408.225283449342
outubro 2013,410.552167565003
novembro 2013,412.769149269854
dezembro 2013,416.566625443137
janeiro 2014,418.857741883074
fevereiro 2014,421.747860302068
março 2014,425.627940616847
abril 2014,428.479647818979
maio 2014,430.450654198947
junho 2014,432.172456815742
julho 2014,432.215674061424
agosto 2014,433.296213246578
setembro 2014,435.766001662083
outubro 2014,437.596218869064
novembro 2014,439.827959585296
dezembro 2014,443.258617670061
janeiro 2015,448.75502452917
fevereiro 2015,454.229835828426
março 2015,460.225669661361
abril 2015,463.493271915957
maio 2015,466.923122128135
junho 2015,470.611814792947
julho 2015,473.529608044664
agosto 2015,474.571373182362
setembro 2015,477.134058597547
outubro 2015,481.046557878046
novembro 2015,485.905128112615
dezembro 2015,490.569817342496
janeiro 2016,496.800054022746
fevereiro 2016,501.27125450895
março 2016,503.426720903339
abril 2016,506.497623900849
maio 2016,510.448305367276
junho 2016,512.234874436061
julho 2016,514.898495783129
agosto 2016,517.164049164575
setembro 2016,517.577780403906
outubro 2016,518.923482632956
novembro 2016,519.857544901696
dezembro 2016,521.417117536401
janeiro 2017,523.398502583039
fevereiro 2017,525.125717641563
março 2017,526.438531935667
abril 2017,527.175545880377
maio 2017,528.809790072606
junho 2017,527.593527555439
julho 2017,528.859752021572
agosto 2017,529.864585550413
setembro 2017,530.712368887294
outubro 2017,532.94136083662
novembro 2017,534.433596646963
dezembro 2017,536.785104472209
janeiro 2018,538.341781275179
fevereiro 2018,540.064474975259
março 2018,540.550533002737
abril 2018,541.739744175343
maio 2018,543.906703152045
junho 2018,550.75992761176
julho 2018,552.577435372879
agosto 2018,552.080115681043
setembro 2018,554.730100236312
outubro 2018,557.226385687376
novembro 2018,556.056210277432
dezembro 2018,556.890294592848
janeiro 2019,558.672343535546
fevereiro 2019,561.074634612749
março 2019,565.282694372344
abril 2019,568.504805730267
maio 2019,569.243861977716
junho 2019,569.300786363914
julho 2019,570.382457858005
agosto 2019,571.009878561649
setembro 2019,570.781474610225
outubro 2019,571.352256084835
novembro 2019,574.266152590867
dezembro 2019,580.870213345662
janeiro 2020,582.090040793688
fevereiro 2020,583.545265895672
março 2020,583.953747581799
abril 2020,582.143490964296
maio 2020,579.931345698631
junho 2020,581.439167197448
julho 2020,583.532348199359
agosto 2020,584.932825835037
